x,y,cor
0.19453224002981737,0.5572584856396867,azul
0.20783824077525156,0.4951174934725848,azul
0.7742937010808796,0.5972062663185378,vermelho
0.8028065598210957,0.48845953002610965,vermelho
0.13940737979873274,0.4618276762402088,azul
0.7647894148341409,0.4751436031331593,vermelho
0.08808423406634364,0.38859007832898174,azul
0.9130562802832649,0.4351958224543081,vermelho
0.11279537830786433,0.4019060052219321,azul
0.10519194931047335,0.4862402088772846,azul
0.8883451360417443,0.5395039164490861,vermelho
0.8940477077897875,0.35308093994778067,vermelho
0.22874767051807676,0.33088772845952996,azul
0.24965710026090196,0.3686161879895561,azul
0.8370219903093551,0.34864229765013055,vermelho
0.20783824077525156,0.4130026109660574,azul
0.8123108460678344,0.29315926892950395,vermelho
0.7723928438315318,0.3952480417754569,vermelho
0.1165970928065598,0.5084334203655353,azul
0.09188594856503914,0.5395039164490861,azul
0.7157808423406634,0.4618276762402088,vermelho
0.6868542676108833,0.5572584856396867,vermelho
0.2211442415206858,0.4285378590078329,azul
0.2515579575102497,0.4795822454308094,azul
0.6393328363771896,0.6304960835509139,vermelho
0.2743682445024226,0.40412532637075715,azul
0.6773499813641446,0.6948563968668408,vermelho
0.2838725307491614,0.45960835509138376,azul
0.6773499813641446,0.7436814621409922,vermelho
0.33519567648155046,0.37749347258485644,azul
0.5195788296682817,0.7214882506527416,vermelho
0.5842079761461051,0.5572584856396867,vermelho
0.30288110324263884,0.38859007832898174,azul
0.30288110324263884,0.33754569190600525,azul
0.4872642564293701,0.7192689295039165,vermelho
0.2705665300037271,0.30425587467362925,azul
0.5138762579202385,0.785822454308094,vermelho
0.8940477077897875,0.5750130548302872,vermelho
0.22494595601938128,0.27540469973890336,azul
0.8769399925456578,0.44407310704960834,vermelho
0.19453224002981737,0.3175718015665796,azul
0.890245993291092,0.6637859007832898,vermelho
0.8104099888184867,0.43741514360313316,vermelho
0.28197167349981367,0.3619582245430809,azul
0.16031680954155794,0.29759791122715407,azul
0.5861088333954528,0.7103916449086162,vermelho
0.5651994036526277,0.6660052219321149,vermelho
0.145109951546776,0.2509921671018277,azul
0.4834625419306746,0.568355091383812,vermelho
0.4834625419306746,0.5217493472584857,vermelho
0.13940737979873274,0.20216710182767628,azul
0.16221766679090568,0.16443864229765015,azul
0.5690011181513231,0.6127415143603133,vermelho
0.4967685426761088,0.6238381201044386,vermelho
0.20593738352590382,0.14668407310704956,azul
0.25535967200894516,0.15112271540469968,azul
0.5499925456578457,0.4840208877284595,vermelho
0.6127208348863212,0.49955613577023494,vermelho
0.2515579575102497,0.23545691906005217,azul
0.6298285501304509,0.36417754569190597,vermelho
0.29527767424524787,0.24211488250652735,azul
0.31238538948937755,0.17109660574412533,azul
0.6811516958628401,0.3575195822454308,vermelho
0.3142862467387253,0.09563968668407308,azul
0.741979127841968,0.4019060052219321,vermelho
0.7476816995900112,0.45516971279373364,vermelho
0.23825195676481548,0.10895561357702344,azul
0.16411852404025343,0.1111749347258485,azul
0.6374319791278419,0.4418537859007833,vermelho
0.7438799850913157,0.5261879895561358,vermelho
0.14320909429742826,0.09120104438642296,azul
0.09758852031308236,0.12671018276762402,azul
0.8180134178158777,0.5506005221932115,vermelho
0.8465262765560939,0.4240992167101828,vermelho
0.09758852031308236,0.18219321148825063,azul
0.0861833768169959,0.2576501305483029,azul
0.7324748415952291,0.30869451697127936,vermelho
0.06147223257547521,0.22214099216710181,azul
0.7971039880730525,0.35973890339425585,vermelho
0.05386880357808424,0.15112271540469968,azul
0.21924338427133805,0.2066057441253264,azul
0.7723928438315318,0.2842819843342036,vermelho
0.8294185613119641,0.3898172323759791,vermelho
0.30858367499068207,0.23101827676240205,azul
0.5842079761461051,0.4285378590078329,vermelho
0.6564405516213194,0.7281462140992168,vermelho
0.3332948192322027,0.1555613577023498,azul
0.6184234066343645,0.6815404699738903,vermelho
0.32569139023481175,0.31535248041775454,azul
0.7077636973537085,0.2731853785900783,vermelho
0.15081252329481923,0.3797127937336815,azul
0.6925568393589265,0.3109138381201044,vermelho
0.19263138278046962,0.37083550913838115,azul
0.10709280655982109,0.3220104438642297,azul
0.7286731270965336,0.5727937336814621,vermelho
0.21163995527394705,0.535065274151436,azul
0.808509131569139,0.5883289817232376,vermelho
0.24775624301155422,0.5062140992167101,azul
0.3446999627282892,0.2509921671018277,azul
0.7324748415952291,0.6482506527415144,vermelho
